Name,Address,Type,Description,Image_URL
"Zilker Park","2100 Barton Springs Rd, Austin, TX 78746",Park,"Growing up in Austin, this is where I have some of my first memories playing on the playground. It is also where I go to ACL almost every year, so it feels tied to so many of my favorite Austin memories.",https://example.com/zilker.jpg
"Lake Travis","4370 Mansfield Dam Park Rd, Austin, TX 78732",Recreation,"Lake Travis is the lake I grew up on. I grew up fishing there, being on the water, and doing water sports, so it has always felt like home to me.",https://example.com/lake_travis.jpg
"Angel's Icehouse","21815 State Hwy 71, Spicewood, TX 78669",Restaurant,"I grew up going here, and it has been a family spot for as long as I can remember. My parents used to put me on the table in a baby bucket when I was little, so it is one of those places that has basically always been part of my life.",https://example.com/angels_icehouse.jpg
"Civil Goat on Cuernavaca","704 N Cuernavaca Dr N, Austin, TX 78733",Cafe,"This is my favorite coffee spot. It feels cozy and familiar, and it is one of my favorite places to go when I want a relaxed morning.",https://example.com/civil_goat.jpg
"Commons Ford Ranch","614 N Commons Ford Rd, Austin, TX 78733",Park,"This is my favorite place to hike. It is peaceful, pretty, and feels like such a good escape while still being close to Austin.",https://example.com/commons_ford.jpg
"Maudie's Hill Country Galleria","12506 Shops Pkwy, Bee Cave, TX 78738",Restaurant,"This is my classic Friday night fajita spot. It is one of those places that feels tied to family routines and easy weekend memories.",https://example.com/maudies.jpg
"Amy's Ice Cream on South Congress","1301 S Congress Ave, Austin, TX 78704",Dessert,"This is such a childhood staple for me. I always connect it with walking around South Congress, and it is one of the first places I think of when I think about Austin.",https://example.com/amys.jpg
"Swedish Hill","415 Colorado St Unit 102, Austin, TX 78701",Restaurant,"This is my favorite casual restaurant. I love that it feels cute and a little special without being too formal.",https://example.com/swedish_hill.jpg
"Neighborhood Sushi","1716 S Congress Ave, Austin, TX 78704",Restaurant,"This is my favorite sushi ever. It is one of those places I would be genuinely excited to take someone because I love it that much.",https://example.com/neighborhood_sushi.jpg
"Saint Bernard","3201 Bee Caves Rd Ste 142, Austin, TX 78746",Shopping,"This is my all-time favorite place to shop. It is one of those stores I can never just quickly stop in without wanting to look at everything.",https://example.com/saint_bernard.jpg
"It's All Good Barbeque","22112 TX-71, Spicewood, TX 78669",Restaurant,"This is my favorite barbeque spot. Whenever I am out that way, it is one of the first places I think about going.",https://example.com/its_all_good.jpg
"Barton Springs","2131 William Barton Dr, Austin, TX 78746",Recreation,"This is my favorite place to tan and hang out with friends in the summer, usually with a snow cone. It feels like the most classic Austin summer day to me.",https://example.com/barton_springs.jpg
